=== quarterly period coverage (income_statement) ===
Source: tests/fixtures/mini.duckdb
View: per (ticker, fiscal_year, period), MIN(accepted_date) = earliest emission.
Q4 lag = (Q4_first_accepted - FY_first_accepted) in days. A large positive lag means
Q4 didn't appear at the FY filing — it only materialised at the NEXT FY's 10-K.

=== AAPL ===
FY   | Q1             | Q2             | Q3             | Q4             | FY accepted | Q4 accepted | Q4 lag (days)
Pattern: Q4 contemporaneous with FY for FY2024+, year-lagged for FY2010-2023.

=== JPM ===
FY   | Q1             | Q2             | Q3             | Q4             | FY accepted | Q4 accepted | Q4 lag (days)
2007 | N              | N              | N              | N              | 2010-02-24  | ---         | —
2008 | N              | Y(2008-06-30)  | Y(2008-09-30)  | N              | 2010-02-24  | ---         | —
2009 | Y(2009-03-31)  | Y(2009-06-30)  | Y(2009-09-30)  | Y(2009-12-31)  | 2010-02-24  | 2011-02-28  | +369
2010 | Y(2010-03-31)  | Y(2010-06-30)  | Y(2010-09-30)  | Y(2010-12-31)  | 2011-02-28  | 2011-02-28  | +0
2011 | Y(2011-03-31)  | Y(2011-06-30)  | Y(2011-09-30)  | Y(2011-12-31)  | 2012-02-29  | 2012-02-29  | +0
2012 | Y(2012-03-31)  | Y(2012-06-30)  | Y(2012-09-30)  | Y(2012-12-31)  | 2013-02-28  | 2013-02-28  | +0
2013 | Y(2013-03-31)  | Y(2013-06-30)  | Y(2013-09-30)  | Y(2013-12-31)  | 2014-02-20  | 2014-02-20  | +0
2014 | Y(2014-03-31)  | Y(2014-06-30)  | Y(2014-09-30)  | Y(2014-12-31)  | 2015-02-24  | 2015-02-24  | +0
2015 | Y(2015-03-31)  | Y(2015-06-30)  | Y(2015-09-30)  | Y(2015-12-31)  | 2016-02-23  | 2016-02-23  | +0
2016 | Y(2016-03-31)  | Y(2016-06-30)  | Y(2016-09-30)  | Y(2016-12-31)  | 2017-02-28  | 2017-02-28  | +0
2017 | Y(2017-03-31)  | Y(2017-06-30)  | Y(2017-09-30)  | Y(2017-12-31)  | 2018-02-27  | 2018-02-27  | +0
2018 | Y(2018-03-31)  | Y(2018-06-30)  | Y(2018-09-30)  | Y(2018-12-31)  | 2019-02-26  | 2019-02-26  | +0
2019 | Y(2019-03-31)  | Y(2019-06-30)  | Y(2019-09-30)  | Y(2019-12-31)  | 2020-02-25  | 2020-02-25  | +0
2020 | Y(2020-03-31)  | Y(2020-06-30)  | Y(2020-09-30)  | Y(2020-12-31)  | 2021-02-23  | 2021-02-23  | +0
2021 | Y(2021-03-31)  | Y(2021-06-30)  | Y(2021-09-30)  | Y(2021-12-31)  | 2022-02-22  | 2022-02-22  | +0
2022 | Y(2022-03-31)  | Y(2022-06-30)  | Y(2022-09-30)  | Y(2022-12-31)  | 2023-02-21  | 2023-02-21  | +0
2023 | Y(2023-03-31)  | Y(2023-06-30)  | Y(2023-09-30)  | Y(2023-12-31)  | 2024-02-16  | 2024-02-16  | +0
2024 | Y(2024-03-31)  | Y(2024-06-30)  | Y(2024-09-30)  | Y(2024-12-31)  | 2025-02-14  | 2025-02-14  | +0
2025 | Y(2025-03-31)  | Y(2025-06-30)  | Y(2025-09-30)  | Y(2025-12-31)  | 2026-02-13  | 2026-02-13  | +0
2026 | Y(2026-03-31)  | N              | N              | N              | ---         | ---         | —
Pattern: Q4 contemporaneous with FY for FY2010+, year-lagged for FY2009-2009.

=== ZTS ===
FY   | Q1             | Q2             | Q3             | Q4             | FY accepted | Q4 accepted | Q4 lag (days)
2011 | N              | N              | N              | N              | 2014-03-26  | ---         | —
2012 | Y(2012-04-01)  | Y(2012-07-01)  | Y(2012-09-30)  | Y(2012-12-31)  | 2014-03-26  | 2014-03-26  | +0
2013 | Y(2013-03-31)  | Y(2013-06-30)  | Y(2013-09-29)  | Y(2013-12-31)  | 2014-03-26  | 2014-03-26  | +0
2014 | Y(2014-03-30)  | Y(2014-06-29)  | Y(2014-09-28)  | Y(2014-12-31)  | 2016-02-24  | 2016-02-24  | +0
2015 | Y(2015-03-29)  | Y(2015-06-28)  | Y(2015-09-27)  | Y(2015-12-31)  | 2016-02-24  | 2016-02-24  | +0
2016 | Y(2016-04-03)  | Y(2016-07-03)  | Y(2016-10-02)  | Y(2016-12-31)  | 2017-02-16  | 2017-02-16  | +0
2017 | Y(2017-04-02)  | Y(2017-07-02)  | Y(2017-10-01)  | Y(2017-12-31)  | 2018-02-15  | 2018-02-15  | +0
2018 | Y(2018-03-31)  | Y(2018-06-30)  | Y(2018-09-30)  | Y(2018-12-31)  | 2019-02-14  | 2019-02-14  | +0
2019 | Y(2019-03-31)  | Y(2019-06-30)  | Y(2019-09-30)  | Y(2019-12-31)  | 2020-02-13  | 2020-02-13  | +0
2020 | Y(2020-03-31)  | Y(2020-06-30)  | Y(2020-09-30)  | Y(2020-12-31)  | 2021-02-16  | 2021-02-16  | +0
2021 | Y(2021-03-31)  | Y(2021-06-30)  | Y(2021-09-30)  | Y(2021-12-31)  | 2022-02-15  | 2022-02-15  | +0
2022 | Y(2022-03-31)  | Y(2022-06-30)  | Y(2022-09-30)  | Y(2022-12-31)  | 2023-02-14  | 2023-02-14  | +0
2023 | Y(2023-03-31)  | Y(2023-06-30)  | Y(2023-09-30)  | Y(2023-12-31)  | 2024-02-13  | 2024-02-13  | +0
2024 | Y(2024-03-31)  | Y(2024-06-30)  | Y(2024-09-30)  | Y(2024-12-31)  | 2025-02-13  | 2025-02-13  | +0
2025 | Y(2025-03-31)  | Y(2025-06-30)  | Y(2025-09-30)  | Y(2025-12-31)  | 2026-02-12  | 2026-02-12  | +0
2026 | Y(2026-03-31)  | N              | N              | N              | ---         | ---         | —
Pattern: Q4 contemporaneous with FY for all available years (FY2012-2025).

=== GWW ===
FY   | Q1             | Q2             | Q3             | Q4             | FY accepted | Q4 accepted | Q4 lag (days)
2007 | N              | N              | N              | N              | 2010-02-25  | ---         | —
2008 | N              | Y(2008-06-30)  | Y(2008-09-30)  | N              | 2010-02-25  | ---         | —
2009 | Y(2009-03-31)  | Y(2009-06-30)  | Y(2009-09-30)  | Y(2009-12-31)  | 2010-02-25  | 2011-02-28  | +368
2010 | Y(2010-03-31)  | Y(2010-06-30)  | Y(2010-09-30)  | Y(2010-12-31)  | 2011-02-28  | 2011-02-28  | +0
2011 | Y(2011-03-31)  | Y(2011-06-30)  | Y(2011-09-30)  | Y(2011-12-31)  | 2012-02-28  | 2012-02-28  | +0
2012 | Y(2012-03-31)  | Y(2012-06-30)  | Y(2012-09-30)  | Y(2012-12-31)  | 2013-02-28  | 2013-02-28  | +0
2013 | Y(2013-03-31)  | Y(2013-06-30)  | Y(2013-09-30)  | Y(2013-12-31)  | 2014-02-27  | 2014-02-27  | +0
2014 | Y(2014-03-31)  | Y(2014-06-30)  | Y(2014-09-30)  | Y(2014-12-31)  | 2015-02-27  | 2015-02-27  | +0
2015 | Y(2015-03-31)  | Y(2015-06-30)  | Y(2015-09-30)  | Y(2015-12-31)  | 2016-02-29  | 2016-02-29  | +0
2016 | Y(2016-03-31)  | Y(2016-06-30)  | Y(2016-09-30)  | Y(2016-12-31)  | 2017-02-28  | 2017-02-28  | +0
2017 | Y(2017-03-31)  | Y(2017-06-30)  | Y(2017-09-30)  | Y(2017-12-31)  | 2018-02-26  | 2018-02-26  | +0
2018 | Y(2018-03-31)  | Y(2018-03-31)  | Y(2018-03-31)  | Y(2018-12-31)  | 2019-02-28  | 2019-02-28  | +0
